"1:...兴学堂，乡乡办小学，儿童7岁入小学，学习八年毕业。儿童""不入学者，罚其父母。""（康有为语）甚至提出了更加严厉的督促措施来迫使父母送子女入学，主张不但要罪其父母，而且""一家不读书收，五家皆坐罪。""（谭嗣同语）...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",a,0
"2:...差，实施义务教育困难比较大的地方，这种现象更为严重，留级复读率有达到100％的，这使得义务教育的实施更加困难。实践证明，从端正办学指导思想入手，改进学籍管理办法，包括小学、初中学生的入学、转学、休学、复学和...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",a,0
"3:...它较融合课程更具有综合性。采用广域课程可减少课程设计中的分科数目，使教给学生的知识不致过于零碎，而且更加接近生活。但也存在两大问题：一是教科书怎样把学科的知识综合起来才好，这难以很好地解决；二是师资问题。过...		  【文件名:\当代\CWAC\AEB0001.txt	文章标题:	作者:】
",v,1
"4:...都召开了全国推进义务教育均衡发展现场经验交流会，要求用3到5年的时间，努力做到区域内义务教育资源配置更加合理。2009年，教育部在河北省邯郸市又召开全国推进义务教育均衡发展现场经验交流会，认真总结交流了各地...		  【文件名:\当代\CWAC\AEE0002.txt	文章标题:	作者:】
",a,0
"5:...的，这样的名师实在是怪异的名师，他们扬名于高分学生、陶醉于编辑试题辅导资料，让本来繁荣的应试资料市场更加五彩缤纷，这样的怪异名师还是少点好，因为他们在间接地给学生增加负担。		  【文件名:\当代\CWAC\AEE0003.txt	文章标题:	作者:】
",a,0
"6:...包括“高度控制”、“强力推行”或只是简单惩罚等各种惩戒性措施时,孩子们会变得更具有破坏性和侵略性,并更加充满敌意。?而在教育实践中，惩罚确实又是人们最容易采用而又使用不当的教育手段。许多案例和调查证明,滥用...		  【文件名:\当代\CWAC\AEJ0007.txt	文章标题:	作者:】
",v,0
"7:...残疾儿童等)无法接受义务教育的困境。如果在教育部建立特殊教育司，各省能设立专门特殊教育管理机构,则会更加有利于特殊教育的统筹规划和管理。		  【文件名:\当代\CWAC\AEJ0009.txt	文章标题:	作者:】
",o,0
"9:...在近、现代，由于科学文化发展，政治逐渐复杂，国家政治上所需要的人才，必须具有较高的科学文化水平，这就更加需要依靠学校教育来培养。当前世界上出现了""专家政治""的趋向，即一些专家学者进入了国家的领导集团，这就表...		  【文件名:\当代\CWAC\AEM0016.txt	文章标题:	作者:】
",v,0
"10:...得到新的发展。每一次适应新的问题或情境，儿童的智力就向前发展一步，从而使其改变对外部世界的认识，产生更加适应的认知结构，这种适应即""平衡""。当新的信息输入与原有的认知结构不符时，再次产生不平衡。经同化和调节...		  【文件名:\当代\CWAC\AEM0016.txt	文章标题:	作者:】
",v,0
"11:...主义的膨胀，以及层出不穷的社会问题，它对教育与整个社会的联系和教育对个人参与社会生活及谋生的意义显得更加关注，但从价值等级上讲，尤其是从终极价值上讲，内在价值仍然高于外在价值。		  【文件名:\当代\CWAC\AEM0016.txt	文章标题:	作者:】
",v,0
"13:...在方向、目的、基本内容上是一致的。素质教育从人的身心发展的素质结构入手，为培养与提高学生的素质提供了更加丰富和明确的培养目标体系，并且使全面发展教育的内容更为明确，使之有较强的可操作性。素质教育目标体系的建...		  【文件名:\当代\CWAC\AEM0016.txt	文章标题:	作者:】
",a,0
"14:...信手段来实施教学与学习活动。在网络通信技术与通信手段的支持下,教学模式不仅日趋丰富，而且原有教学模式更加优化。从自主探究式学习，到协作化学习、基于资源的学习，到原有的讲授型教学模式、问题解决型教学模式、案例研究型教学模式等都加完善,并呈现出新的特点。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"15:...辅助教育发展到一个更高的阶段。其中，超文本、超媒体的信息组织技术的实用化,也使得教学内容的组织和呈现更加符合人类的思维模式,计算机辅助教学的方式、方法加合理、有效。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",v,0
"16:...帮助学生进行数学知识的学习和工程计算领域中的问题求解。此外，开放的网络环境下的教学资源也使学生的学习更加方便、自主。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"18:...论，结果发现一二十年前处于前沿的科学技术和工艺技术都已变得过时。20世纪七八十年代以来,这种状况变得更加突出。人们发现，要在这样的社会中生活、生存、竞争、发展，仅靠在学校的一次性教育已远远不能适应，而必须终...		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"19:...技能，把企业发展成为一个“学习型组织，。特别是金融、高科技、政府与公共服务、交通运输和生产制造等行业更加迫切希望开展在线学习。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",v,0
"20:...，比喻可以变抽象为具体，化深奥为浅显。多媒体课件设计中要更多地利用视听表现手段的直观形象，使比喻变得更加生动，从而启发学生的联想、分析等思维活动，促进学生更有效地学习。		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
"21:...单机课件的功能，可以达到超媒体连接，使得各种多媒体信息获得集成，传输速度和存储容量大大提高，人机交互更加便利，跨越空间的即时交流也成为现实。教学需要的动态模拟、资料查询、讨论交流、实时练习、情景创设以及寓乐...		  【文件名:\当代\CWAC\AET0017.txt	文章标题:	作者:】
",a,0
