"1:...册会计师""，听起来像是会计，再问你懂不懂会计，你还得回答""我懂，我很懂""。结果是越描越黑，让社会公众越发以为你就是那个做账的会计，还老做假账。而一群审计师组合在一起组成的事务所，也叫""会计师事务所""，问问你...		  【文件名:\当代\CWAC\CAB0120.txt	文章标题:	作者:】
",v,0
"3:...测，他说：“为大事也，何惜生命！”但是，几度扬帆都未能成功，困在海中孤岛两年，大师双目失明。此时，他越发觉得弘扬佛法于海外的事业“舍我其谁”，因此愈挫愈奋，再接再厉。经过十二年的艰苦备尝，大师终于在第六次航...		  【文件名:\当代\口语\对话\传媒大亨与佛教宗师的对话：包容的智慧.TXT	文章标题:	作者:】
",v,0
"4:...的第２６个年头。２０多年间，多少明星都已成过眼云烟，而刘德华却依然有着遍布全球的华人影迷和歌迷，并且越发透露出天王巨星才有的魅力。这个出身香港普通农家、入行时只能跑龙套、并被批评演技很差、唱歌难听的小跟班，...		  【文件名:\当代\口语\对话\杨澜对话热点人物：杨澜访谈录Ⅱ.txt	文章标题:	作者:】
",v,0
"5:...。但更多的还是为生存而奔波的“穷画家”，他们住着租来的房子，家里也没怎么装修过。有人因为贫寒，行为就越发“乖张”。传说某人在大冬天骑辆破摩托车，沿着乡间小路来回行驶，嘴里还不住地呼喊着……		  【文件名:\当代\史传\中国北漂艺人生存实录.TXT	文章标题:	作者:】
",a,0
"6:　　在这些所谓的娱乐节目中，各地方台的主持人在越来越低龄化的同时，中性化倾向也变得越发无孔不入，从衣着打扮、举止体态到语音腔调，男女界线越来越模糊。更可怕的是，不久一些时尚类、旅游类节目也...		  【文件名:\当代\史传\中国北漂艺人生存实录.TXT	文章标题:	作者:】
",a,0
"7:　　独自在北京漂泊，家的感觉并不会随着距离的拉远而变得模糊，反倒越发清晰起来，对友情和亲情的渴望也会更加强烈。特别在这样的中秋之夜，这种感觉更是刻骨铭心，让人永世难忘。		  【文件名:\当代\史传\中国北漂艺人生存实录.TXT	文章标题:	作者:】
",a,0
"8:...洞顶如夜空天体，密布的钟乳怪石，在灯光照射下，似满天繁星；脚下密罗河淙淙流水奔泻岩间，圆顶倒映水中，越发深邃莫测。洞中有一处是“亚当夏娃室”。室内岩浆凝成两个人形，似一男一女，体态逼真，冰清玉洁，连那隐秘处...		  【文件名:\当代\史传\宋氏家族全传.txt	文章标题:	作者:】
",a,0
"9:　　众人一直跟到了江苏高等法院和检察院门前，心里越发好奇了：孙夫人到这里干什么来呢？		  【文件名:\当代\史传\宋氏家族全传.txt	文章标题:	作者:】
",a,0
"10:　　接着，随着物价上涨加剧，八佰伴的巴西员工又提出增加工资的问题。而工资一增加，八佰伴的财政越发不堪重负。为了挽救危机，禾田曾采取减小经营规模、裁减雇员、减少贷款金额的办法。但是，这些办法都如杯水车...		  【文件名:\当代\史传\张剑 世界100位富豪发迹史.txt	文章标题:	作者:】
",a,0
"11:...、徽因在美国宾夕法尼亚大学的同学陈植、蔡方荫等人来到了东北大学建筑系。他们的到来，使徽因、思成的小家越发热闹，也使原来许多停留在计划中的工作能够实施。		  【文件名:\当代\史传\张清平 林徽因.txt	文章标题:	作者:】
",a,0
